Organisation Name,Organisation Website,Organisation Address,Organisation Languages,Organisation Services,Organisation Google Map,Organisation Details
Achēv,https://www.achev.ca,"420 Highway 7, Suites 204B & 203",English,"['Services available online', 'Language assessment']",http://maps.google.com/maps?q=420%20Highway%207%2C%20Suites%20204B%20%26%20203%20Richmond%20Hill%20Ontario%20Canada,"Richmond Hill, OntarioL4B 3K2Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessment"
Achēv,https://www.achev.ca,"7700 Hurontario Street, Unit 601","English, French","['Services available online', 'Language assessment']",http://maps.google.com/maps?q=7700%20Hurontario%20Street%2C%20Unit%20601%20Brampton%20Ontario%20Canada,"Brampton, OntarioL6Y 4M3Telephone: 905-457-4747Languages of service: English, French/Services available onlineLanguage assessment"
Achēv,https://www.achev.ca,"263 Queen Street East, Unit 14","English, French","['Services available online', 'Language assessment']",http://maps.google.com/maps?q=263%20Queen%20Street%20East%2C%20Unit%2014%20Brampton%20Ontario%20Canada,"Brampton, OntarioL6W 4K6Telephone: 905-595-0722Languages of service: English, French/Services available onlineLanguage assessment"
Achēv,https://www.achev.ca,"690 Dorval Drive, Unit 100","English, French","['Services available online', 'Language assessment']",http://maps.google.com/maps?q=690%20Dorval%20Drive%2C%20Unit%20100%20Oakville%20Ontario%20Canada,"Oakville, OntarioL6K 3X9Telephone: 905-875-3851Languages of service: English, French/Services available onlineLanguage assessment"
Achēv,https://www.achev.ca,"50 Burnhamthorpe Road West, Suite 300","English, French","['Services available online', 'Language assessment']",http://maps.google.com/maps?q=50%20Burnhamthorpe%20Road%20West%2C%20Suite%20300%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5B 3C2Telephone: 905-949-0049Languages of service: English, French/Services available onlineLanguage assessment"
Achēv,https://www.achev.ca,"7240 Airport Road, Suite 104","English, French","['Services available online', 'Language assessment']",http://maps.google.com/maps?q=7240%20Airport%20Road%2C%20Suite%20104%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL4T 4E5Telephone: 905-677-0007Languages of service: English, French/Services available onlineLanguage assessment"
Achēv,https://www.linchsnational.ca,lincndhelp@achev.ca,English,"['Services available online', 'General language training', 'Job-specific language training', 'Services for refugees']",mailto:lincndhelp@achev.ca,"Toronto, OntarioTelephone: 800-668-1179Languages of service: English/Services available onlineGeneral language trainingJob-specific language trainingServices for refugees"
Achēv,https://www.linchsnational.ca,help@linchomestudy.ca,English,"['Services available online', 'General language training', 'Job-specific language training', 'Services for refugees']",mailto:help@linchomestudy.ca,"Toronto, OntarioTelephone: 800-668-1179Languages of service: English/Services available onlineGeneral language trainingJob-specific language trainingServices for refugees"
Achēv - Ajax Welcome Centre,https://www.achev.ca,458 Fairall Street,English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=458%20Fairall%20Street%20%20Ajax%20Ontario%20Canada,"Ajax, OntarioL1S 1R6Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Bradford West Gwillimbury Public Library,https://www.achev.ca,425 Holland Street West,English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=425%20Holland%20Street%20West%20%20Bradford%20Ontario%20Canada,"Bradford, OntarioL3Z 0J2Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Career Centre Bayfield Mall,https://www.achev.ca,320 Bayfield Street,English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=320%20Bayfield%20Street%20%20Barrie%20Ontario%20Canada,"Barrie, OntarioL4M 3C1Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Durham Region Unemployed Help Centre,https://www.achev.ca,272 King Street East,English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=272%20King%20Street%20East%20%20Oshawa%20Ontario%20Canada,"Oshawa, OntarioL1H 1C8Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Markham North Welcome Centre,https://www.achev.ca,"8400 Woodbine Avenue, Unit 102-103",English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=8400%20Woodbine%20Avenue%2C%20Unit%20102-103%20Markham%20Ontario%20Canada,"Markham, OntarioL3R 4N7Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Markham South Welcome Centre,https://www.achev.ca,"7220 Kennedy Road, Unit 8",English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=7220%20Kennedy%20Road%2C%20Unit%208%20Markham%20Ontario%20Canada,"Markham, OntarioL3R 7P2Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Newcomer Information Centre,https://www.achev.ca,"7700 Hurontario Street, Unit 601","English, Dari, Hindi, Pashto, Punjabi, Urdu","['General settlement help', 'Help connecting with the local community', 'Services available online', 'Help finding a job']",http://maps.google.com/maps?q=7700%20Hurontario%20Street%2C%20Unit%20601%20Brampton%20Ontario%20Canada,"Brampton, OntarioL6Y 4M3Telephone: 905-457-4747Languages of service: English, Dari, Hindi, Pashto, Punjabi, Urdu/General settlement helpHelp connecting with the local communityServices available onlineHelp finding a job"
Achēv - Newcomer Information Centre,https://www.achev.ca,"263 Queen Street East, Unit 14","English, Hindi, Punjabi, Russian, Urdu","['General settlement help', 'Help connecting with the local community', 'Services available online', 'Help finding a job']",http://maps.google.com/maps?q=263%20Queen%20Street%20East%2C%20Unit%2014%20Brampton%20Ontario%20Canada,"Brampton, OntarioL6W 4K6Telephone: 905-595-0722Languages of service: English, Hindi, Punjabi, Russian, Urdu/General settlement helpHelp connecting with the local communityServices available onlineHelp finding a job"
Achēv - Newcomer Information Centre,https://www.achev.ca,"50 Burnhamthorpe Road West, Suite 300","English, Hindi, Punjabi, Spanish, Ukrainian, Urdu","['General settlement help', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for women']",http://maps.google.com/maps?q=50%20Burnhamthorpe%20Road%20West%2C%20Suite%20300%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL5B 3C2Telephone: 905-949-0049Languages of service: English, Hindi, Punjabi, Spanish, Ukrainian, Urdu/General settlement helpHelp connecting with the local communityServices available onlineHelp finding a jobServices for women"
Achēv - Newcomer Information Centre,https://www.achev.ca,"7420 Airport Road, Suite 104","English, Hindi, Punjabi, Swahili, Urdu","['General settlement help', 'Help connecting with the local community', 'Services available online', 'Help finding a job']",http://maps.google.com/maps?q=7420%20Airport%20Road%2C%20Suite%20104%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL4T 4E5Telephone: 905-677-0007Languages of service: English, Hindi, Punjabi, Swahili, Urdu/General settlement helpHelp connecting with the local communityServices available onlineHelp finding a job"
Achēv - Newcomer Information Centre,https://www.achev.ca,"690 Dorval Drive, Suite 100","English, Chinese - Traditional (translation only), Hindi, Punjabi, Spanish, Ukrainian, Urdu","['General settlement help', 'Help connecting with the local community', 'Services available online', 'Help finding a job']",http://maps.google.com/maps?q=690%20Dorval%20Drive%2C%20Suite%20100%20Oakville%20Ontario%20Canada,"Oakville, OntarioL6K 3X9Telephone: 905-875-3851Languages of service: English, Chinese - Traditional (translation only), Hindi, Punjabi, Spanish, Ukrainian, Urdu/General settlement helpHelp connecting with the local communityServices available onlineHelp finding a job"
Achēv - Newmarket Welcome Centre,https://www.achev.ca,"16655 Yonge Street, Unit 26",English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=16655%20Yonge%20Street%2C%20Unit%2026%20Newmarket%20Ontario%20Canada,"Newmarket, OntarioL3X 1V6Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Pickering Welcome Centre,https://www.achev.ca,"1400 Bayly Street, Unit 5",English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=1400%20Bayly%20Street%2C%20Unit%205%20Pickering%20Ontario%20Canada,"Pickering, OntarioL1W 3R2Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Richmond Hill Welcome Centre,https://www.achev.ca,"9325 Yonge Street, Unit 31A",English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=9325%20Yonge%20Street%2C%20Unit%2031A%20Richmond%20Hill%20Ontario%20Canada,"Richmond Hill, OntarioL4C 0A8Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Vaughan Welcome Centre,https://www.achev.ca,"9100 Jane Street Building H, Units 56-67",English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=9100%20Jane%20Street%20Building%20H%2C%20Units%2056-67%20Vaughan%20Ontario%20Canada,"Vaughan, OntarioL4K 0A4Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Achēv - Whitby Catholic Continuing Education Centre,https://www.achev.ca,1003 Giffard Street,English,"['Services available online', 'Language assessment', 'Services for refugees']",http://maps.google.com/maps?q=1003%20Giffard%20Street%20%20Whitby%20Ontario%20Canada,"Whitby, OntarioL1N 2S4Telephone: 855-330-8655Languages of service: English/Services available onlineLanguage assessmentServices for refugees"
Action for Healthy Communities Society of Edmonton - Action for Healthy Communities at Camrose and District FCSS,https://a4hc.ca,4821 51 Street,"English, French, Amharic, Arabic, Russian, Spanish, Tagalog, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=4821%2051%20Street%20%20Camrose%20Alberta%20Canada,"Camrose, AlbertaT4V 1R9Telephone: 780-672-0141Languages of service: English, French, Amharic, Arabic, Russian, Spanish, Tagalog, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for people experiencing gender-based violence"
Action for Healthy Communities Society of Edmonton - Action for Healthy Communities at Lakeland Community Futures,https://a4hc.ca,4812 50 Avenue,"English, French, Arabic, Russian, Tagalog, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=4812%2050%20Avenue%20%20Bonnyville%20Alberta%20Canada,"Bonnyville, AlbertaT9N 2J4Telephone: 780-826-3858Languages of service: English, French, Arabic, Russian, Tagalog, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for people experiencing gender-based violence"
Action for Healthy Communities Society of Edmonton - Action for Healthy Communities at The Light House CoWork,https://a4hc.ca,"4810 50th Avenue, Suite 100","English, French, Amharic, Arabic, Russian, Spanish, Tagalog, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=4810%2050th%20Avenue%2C%20Suite%20100%20Leduc%20Alberta%20Canada,"Leduc, AlbertaT9E 6X9Telephone: 780-235-1763Languages of service: English, French, Amharic, Arabic, Russian, Spanish, Tagalog, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for people experiencing gender-based violence"
Action for Healthy Communities Society of Edmonton - Action for Healthy Communities Society of Alberta,https://a4hc.ca,"10578 113 Avenue Northwest, Suite 100","English, French, Afghan, Amharic, Arabic, Bengali, Cantonese, Chinese - Simplified (translation only),Creole, Dari, Farsi (Persian), Fulani, Greek, Gujarati, Hausa, Hindi, Japanese, Kakwa, Kashmiri, Kikongo, Kiswahili, Korean, Lebanese, Lingala, Luganda, Mandarin, Nepali, Oromo, other African languages, other European languages, other Middle Eastern languages,other South Asian languages, other South East Asian languages, Pashto, Persian, Pidgin, Polish, Punjabi, Russian, Somali, Spanish, Swahili, Tagalog, Tigrigna, Turkish, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Job-specific language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=10578%20113%20Avenue%20Northwest%2C%20Suite%20100%20Edmonton%20Alberta%20Canada,"Edmonton, AlbertaT5H 3H5Telephone: 780-944-4687Languages of service: English, French, Afghan, Amharic, Arabic, Bengali, Cantonese, Chinese - Simplified (translation only),Creole, Dari, Farsi (Persian), Fulani, Greek, Gujarati, Hausa, Hindi, Japanese, Kakwa, Kashmiri, Kikongo, Kiswahili, Korean, Lebanese, Lingala, Luganda, Mandarin, Nepali, Oromo, other African languages, other European languages, other Middle Eastern languages,other South Asian languages, other South East Asian languages, Pashto, Persian, Pidgin, Polish, Punjabi, Russian, Somali, Spanish, Swahili, Tagalog, Tigrigna, Turkish, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobJob-specific language trainingInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugeesServices for people experiencing gender-based violence"
Action for Healthy Communities Society of Edmonton - AHC Drop-in Services at Baywood Apartment Units,https://a4hc.ca,reham.hamza@a4hc.ca,"English, Arabic","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for refugees', 'Services for people experiencing gender-based violence']",mailto:reham.hamza@a4hc.ca,"Edmonton, AlbertaTelephone: 587-341-1126Languages of service: English, Arabic/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobServices for refugeesServices for people experiencing gender-based violence"
Action for Healthy Communities Society of Edmonton - AHC Co-located Services at Dickinsfield Amity House,https://a4hc.ca,9213 146 Avenue Northwest,"English, Spanish","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=9213%20146%20Avenue%20Northwest%20%20Edmonton%20Alberta%20Canada,"Edmonton, AlbertaT5E 6N4Telephone: 780-478-5022Languages of service: English, Spanish/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobServices for childrenServices for youthServices for womenServices for seniorsServices for refugeesServices for people experiencing gender-based violence"
Action for Healthy Communities Society of Edmonton - Castle Downs Public Library,https://www.epl.ca/locations/EPLCSD/,basem.alrahim@a4hc.ca,English,"['General settlement help', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth']",mailto:basem.alrahim@a4hc.ca,"Edmonton, AlbertaTelephone: 780-496-1804Languages of service: English/General settlement helpHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youth"
Action for Healthy Communities Society of Edmonton - Clareview Recreation Centre,https://a4hc.ca,2610 Hewes Way Northwest,Arabic,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Services for children', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=2610%20Hewes%20Way%20Northwest%20%20Edmonton%20Alberta%20Canada,"Edmonton, AlbertaT5Y 3G4Telephone: 587-341-1126Languages of service: Arabic/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionServices for childrenServices for people experiencing gender-based violence"
Action for Healthy Communities Society of Edmonton - Londonderry Public Library,https://www.epl.ca/locations/EPLLON/,6504 132 Avenue Northwest,English,"['General settlement help', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth']",http://maps.google.com/maps?q=6504%20132%20Avenue%20Northwest%20%20Edmonton%20Alberta%20Canada,"Edmonton, AlbertaTelephone: 780-496-1814Languages of service: English/General settlement helpServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youth"
