Organisation Name,Phone,Languages,Googlemaps Address,Website,Address
"Agora Boréale, Association Interculturelle de Lebel-Sur-Quévillon",Tel. :  820 755-7550,"Français, Anglais, Espagnol, Créole",https://maps.app.goo.gl/R2W3VYCBdrRmT2ev8,https://fr-ca.facebook.com/agoraboreale/,"Agora Boréale, Association Interculturelle de Lebel-Sur-Quévillon 195, Boulevard Matagami Matagami (Nord-du-Québec) J0Y 2A0 Tel. :  820 755-7550"
"Agora Boréale, Association Interculturelle de Lebel-Sur-Quévillon",Tel. :  819 755-7550,"Français, Anglais, Espagnol, Créole",,https://fr-ca.facebook.com/agoraboreale/,"Agora Boréale, Association Interculturelle de Lebel-Sur-Quévillon 60, Place Quévillon Lebel-sur-Quévillon (Nord-du-Québec) J0Y 1X0 Tel. :  819 755-7550"
ALAC (Alliance pour L'Accueil et l'Intégration des Immigrants-es),Tel. :  514 737-3642,"Français, Anglais, Persan, Espagnol, Portugais, Russe, Ukrainien, Polonais, Catalan, Polonais, Arménien","http://maps.google.ca/maps?q=5165, chemin Queen-Mary, bureau 350 Montréal, Québec H3W1X7",https://www.alac.qc.ca,"ALAC (Alliance pour L'Accueil et l'Intégration des Immigrants-es) 350-5165, chemin Queen-Mary Montréal (Montréal) H3W 1X7 Tel. :  514 737-3642 Fax :  514 737-3514"
Alliance Carrière Travail (ACT)  (Brossard),Tel. :  450 462-2003,"Français, Anglais, Arabe, Espagnol, Roumain, Mandarin, Polonais, Créole",https://maps.app.goo.gl/9saRssoAFgFufLCj9,https://www.alliancect.ca,"Alliance Carrière Travail (ACT)  (Brossard) 7845 boul. Taschereau, suite 201 Brossard (Montérégie) J4Y 1A4 Tel. :  450 462-2003 Fax :  450 462-3733"
Alliance Carrière Travail (ACT) (Châteauguay),Tel. :  450 699-4545,"Français, Anglais, Arabe, Espagnol, Roumain, Mandarin, Polonais, Créole",https://maps.app.goo.gl/5QN5wwG4evkbj9qdA,https://www.alliancect.ca,Alliance Carrière Travail (ACT) (Châteauguay) 265 boulevard d’Anjou Châteauguay (Montérégie) J6J 5J9 Tel. :  450 699-4545 Fax :  450 462-3733
Alliance Carrière Travail (ACT) (Longueuil),Tel. :  450 462-2003,"Français, Anglais, Arabe, Espagnol, Roumain, Mandarin, Polonais, Créole",https://maps.app.goo.gl/SagAjNKxApQvqJk56,https://www.alliancect.ca,"Alliance Carrière Travail (ACT) (Longueuil) 13, rue Saint-Laurent Est Longueuil (Montérégie) J4H 4B7 Tel. :  450 462-2003 Fax :  450 462-3733"
AMINATE Accueil Multiethnique et Intégration de Nouveaux Arrivants à Terrebonne et les Environs,Tel. :  450 492-7989,"Français, Anglais, Arabe, Espagnol, Créole, Wolof, Portugais","https://www.google.ca/maps/place/500+Boulevard+des+Seigneurs,+Terrebonne,+QC+J6W+1T3/@45.7036425,-73.6353195,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc8de68c4748cb9:0x3dfaf4f5260f45f4!8m2!3d45.7036388!4d-73.6331308",https://www.aminate.qc.ca,"AMINATE Accueil Multiethnique et Intégration de Nouveaux Arrivants à Terrebonne et les Environs 500, boulevard des Seigneurs Terrebonne (Lanaudière) J6W 1T3 Tel. :  450 492-7989 Fax :  450 492-1303"
Bienvenue à Notre-Dame-De-Grâce,Tel. :  514 561-5850,"Français, Anglais, Arabe, Coréen, Espagnol, Ourdou, Tigrinya, Mandarin, Portugais, Russe, Persan, Dari, Ukrainien","https://www.google.com/maps/place/2180+Avenue+Belgrave,+Montr%C3%A9al,+QC+H4A+2L8/@45.467152,-73.6189047,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc910b6ffc4cf95:0x57c84af3d0fabf76!8m2!3d45.467152!4d-73.616716",https://www.bienvenuendg.ca,Bienvenue à Notre-Dame-De-Grâce 2180 avenue Belgrave Montréal (Montréal) H4A 2L8 Tel. :  514 561-5850 Fax :  438 927-5850
C.O.F.F.R.E.T. Centre de Formation et d'Orientation pour Favoriser les Relations Ethniques Traditionnelles,Tel. :  450 565-2998,"Français, Anglais, Arabe, Espagnol, Russe, Ukrainien, Swahili, Kirundi, Sango, Kinyarwanda, Népalais, Turc, Kiswahili","https://www.google.com/maps/search/181,+rue+Bri%C3%83%C2%A8re/@45.4836571,-75.6439149,17z/data=!3m1!4b1",https://www.lecoffret.ca,"C.O.F.F.R.E.T. Centre de Formation et d'Orientation pour Favoriser les Relations Ethniques Traditionnelles 181, rue Brière Saint-Jérôme (Laurentides) J7Y 3A7 Tel. :  450 565-2998 Fax :  450 565-3577"
CARI St-Laurent,Tel. :  514 748-2007,"Français, Allemand, Anglais, Arabe, Berbère, Mandarin, Créole, Espagnol, Kabyle, Russe, Turc, Wolof, Kirundi, Lingala, Roumain, Ukrainien","https://www.google.com/maps/place/774+Bd+D%C3%A9carie,+Saint-Laurent,+QC+H4L+3L5/@45.5109089,-73.6801941,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc9183f0a9fe6c1:0xd0e1cb8bfe4b280e!8m2!3d45.5109089!4d-73.6780054",https://www.cari.qc.ca,"CARI St-Laurent 774, boulevard Décarie Montréal (Montréal) H4L 3L5 Tel. :  514 748-2007 Fax :  514 748-2766"
Carrefour d'Aide aux Nouveaux Arrivants,Tel. :  514 382-0735,"Français, Anglais, Espagnol, Arabe, Polonais, Portugais.","http://maps.google.ca/maps?q=10780, rue Laverdure Montréal, Québec H3L2L9",https://www.Canamtl.com,"Carrefour d'Aide aux Nouveaux Arrivants 10780, rue Laverdure Montréal (Montréal) H3L 2L9 Tel. :  514 382-0735 Fax :  514 382-5232"
Carrefour d'Intercultures de Laval,Tel. :  450 686-0554,"Français, Anglais, Espagnol, Arabe, Dari, Arménien, Italien, Créole, Turc, Grec","http://maps.google.ca/maps?q=1536, boulevard Curé-Labelle Local 226 Laval, Québec H7V2W2",https://www.carrefourintercultures.com,"Carrefour d'Intercultures de Laval 226-1536, boulevard Curé-Labelle Laval (Laval) H7V 2W2 Tel. :  450 686-0554 Fax :  450 686-2809"
Carrefour de la Vallée-de-l’Or (Anciennement : Carrefour jeunesse Emploi d'Abitibi-Est) (Malartic),Tel. :  819 825-5627,Français,"https://www.google.com/maps/place/550+Quatrieme+Ave,+Malartic,+QC+J0Y+1Z0/@48.1412604,-78.1230651,17z/data=!3m1!4b1!4m5!3m4!1s0x4d20ad784a4fc9cf:0xba36acc68fada06a!8m2!3d48.1412604!4d-78.1208764",https://www.cjeae.qc.ca,"Carrefour de la Vallée-de-l’Or (Anciennement : Carrefour jeunesse Emploi d'Abitibi-Est) (Malartic) 550, 4e avenue Malartic (Abitibi-Témiscamingue) J0Y 1Z0 Tel. :  819 825-5627"
Carrefour de la Vallée-de-l’Or (Anciennement : Carrefour jeunesse Emploi d'Abitibi-Est) (Val D'or),Tel. :  819 825-5627,Français,https://maps.app.goo.gl/AGxNZvK5ZcAYe6CLA,https://www.cjeae.qc.ca,"Carrefour de la Vallée-de-l’Or (Anciennement : Carrefour jeunesse Emploi d'Abitibi-Est) (Val D'or) 1100, 3e Avenue Ouest Val-d'Or (Abitibi-Témiscamingue) J9P 1T6 Tel. :  819 825-5627"
Carrefour de la Vallée-de-l’Or (Anciennement : Carrefour jeunesse Emploi d'Abitibi-Est)(Senneterre),Tel. :  819 825-5627,Français,https://maps.app.goo.gl/HAw7T9E4mDWz3hED8,https://www.cjeae.qc.ca,"Carrefour de la Vallée-de-l’Or (Anciennement : Carrefour jeunesse Emploi d'Abitibi-Est)(Senneterre) 240, 4e Rue ouest Senneterre (Abitibi-Témiscamingue) J0Y 1M0 Tel. :  819 825-5627"
Carrefour Emploi des Collines,Tel. :  819 457-4480,"Français, Anglais, Espagnol, Persan, Dari, Farsi","https://www.google.ca/maps/place/1694+Mnt+de+la+Source,+Cantley,+QC+J8V+3H6/@45.6228039,-75.8027867,17z/data=!3m1!4b1!4m5!3m4!1s0x4cd1e08751094c1f:0xe68b1d3ba5c80427!8m2!3d45.6228039!4d-75.800598?hl=fr",https://www.toncec.ca/,"Carrefour Emploi des Collines 1694, Montée de la Source, Cantley (Outaouais) J8V3H6 Tel. :  819 457-4480 Fax :  819 457-2141"
Carrefour Emploi Haut St-Maurice,Tel. :  819 523-9274,"Français, Anglais, Espagnol","https://www.google.com/maps/place/545+Rue+Saint+Antoine,+La+Tuque,+QC+G9X+2Y6/@47.4397028,-72.7862748,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc15291273f838b:0xc61a02deda6a3b67!8m2!3d47.4396992!4d-72.7840861",https://www.moncarrefouremploi.ca,"Carrefour Emploi Haut St-Maurice 545, rue Saint-Antoine La Tuque (Mauricie) G9X 2Y5 Tel. :  819 523-9274 Fax :  819 523-9301"
Carrefour Emploi Lotbinière,Tel. :  418 888-8855,"Français, Anglais, Espagnol","http://maps.google.ca/maps?q=1159, rue Principale, bureau 101, Saint-Agapit (Québec) Saint-Agapit, Québec G0S1Z0",https://www.cjelotbiniere.qc.ca,"Carrefour Emploi Lotbinière 101-1159, rue Principale Saint-Agapit (Chaudière-Appalaches) G0S 1Z0 Tel. :  418 888-8855 Fax :  418 888-8865"
Carrefour Jeunesse Emploi D'Abitibi-Ouest,Tel. :  819 333-1110,Français,"http://maps.google.ca/maps?q=299, rue Principale La Sarre, Québec J9Z1Z1",https://www.cjeao.qc.ca,"Carrefour Jeunesse Emploi D'Abitibi-Ouest 299, rue Principale La Sarre (Abitibi-Témiscamingue) J9Z 1Z1 Tel. :  819 333-1110 Fax :  819 333-1050"
Carrefour Jeunesse Emploi de la Haute-Côte-Nord (CJEHCN) (Les Bergeronnes),Tel. :  581 324-1110,Français,"https://www.google.com/maps/place/427+Rue+de+la+Mer,+Grandes-Bergeronnes,+QC+G0T+1G0,+Canada/@48.24256,-69.544968,16z/data=!4m5!3m4!1s0x4c95819af6e0102b:0x85ace417f8b84d4b!8m2!3d48.24256!4d-69.544968?hl=fr-CA",https://www.cjehcn.qc.ca,"Carrefour Jeunesse Emploi de la Haute-Côte-Nord (CJEHCN) (Les Bergeronnes) 427, rue de la Mer, 2e étage Les Bergeronnes (Côte-Nord) G0T 1G0 Tel. :  581 324-1110"
Carrefour Jeunesse Emploi de la MRC de L'Islet (L'Islet),Tel. :  418 247-7335,"Français, Anglais, Espagnol",https://maps.app.goo.gl/xJZfuZUWDfAGSYQs7,https://www.cjelislet.qc.ca,"Carrefour Jeunesse Emploi de la MRC de L'Islet (L'Islet) 250, boulevard Nilus-Leclerc L'Islet (Chaudière-Appalaches) G0R 2C0 Tel. :  418 247-7335 Fax :  418 247-7342"
Carrefour Jeunesse Emploi de la MRC de L'islet (Tourville),Tel. :  418 359-3730,"Français, Anglais, Espagnol",,https://www.cjelislet.qc.ca,"Carrefour Jeunesse Emploi de la MRC de L'islet (Tourville) 962, rue Des Trembles Tourville (Chaudière-Appalaches) G0R 4M0 Tel. :  418 359-3730 Fax :  418 359-3717"
Carrefour Jeunesse Emploi de la Vallée-De-La-Gatineau (Maniwaki),Tel. :  819 441-1165,"Français, Anglais","http://maps.google.ca/maps?q=217, rue Principale Sud Maniwaki, Québec J9E2A3",https://www.cjevg.qc.ca,"Carrefour Jeunesse Emploi de la Vallée-De-La-Gatineau (Maniwaki) 217, rue Principale Sud Maniwaki (Outaouais) J9E 2A3 Tel. :  819 441-1165 Fax :  819 441-1195"
Carrefour Jeunesse Emploi de Laval (C.J.E.L.),Tel. :  450-967-2535,"Français, Anglais, Espagnol, Ewe, Créole, Arabe","https://www.google.com/maps/place/500+Boulevard+Saint-Martin+O,+Laval,+QC+H7M+3Y2/@45.57582,-73.712697,16z/data=!4m5!3m4!1s0x4cc9218788cd312b:0x8e8a74d828f597be!8m2!3d45.5758197!4d-73.7126967?hl=fr",https://www.cjelaval.qc.ca,"Carrefour Jeunesse Emploi de Laval (C.J.E.L.) 500, boulevard Saint-Martin Ouest Laval (Laval) H7M 3Y2 Tel. :  450-967-2535 Fax :  450 967-1061"
Carrefour Jeunesse Emploi et Option Emploi du Rocher-Percé,Tel. :  418 689-6402,"Français, Anglais","https://www.google.ca/maps/place/CJE+Option+emploi+du+Rocher-Perc%C3%A9/@48.3494017,-64.6969976,17z/data=!3m1!4b1!4m5!3m4!1s0x4c995b41df8a5e73:0xb5a4e93a6a0a90f!8m2!3d48.3493982!4d-64.6948089",https://www.cjeoptionemploi.ca,"Carrefour Jeunesse Emploi et Option Emploi du Rocher-Percé 409, boulevard René-Lévesque Ouest Chandler (Gaspésie-Îles-de-la-Madeleine) G0C 1K0 Tel. :  418 689-6402 Fax :  418 689-4306"
Carrefour Jeunesse-Emploi Comté Nicolet-Bécancour (Nicolet),"Tel. :  819 293-2592, Ext. 226","Français, Anglais, Espagnol","https://www.google.com/maps/place/1330+Boulevard+Louis+Fr%C3%A9chette,+Nicolet,+QC+J3T+1K8/@46.2353376,-72.6089306,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc7da846cc03bdd:0x1a9d5eef837cb422!8m2!3d46.2353339!4d-72.6067419",https://www.cjenicbec.org,"Carrefour Jeunesse-Emploi Comté Nicolet-Bécancour (Nicolet) 1330, boulevard Louis-Fréchette Nicolet (Centre-du-Québec) J3T 1A1 Tel. :  819 293-2592, Ext. 226 Fax :  819 293-8279"
Carrefour Jeunesse-Emploi de Beauce-Nord (Sainte-Marie),Tel. :  418 386-2532,"Français, Anglais, Espagnol, Portugais, Arabe","http://maps.google.ca/maps?q=168, Notre-Dame Sud Sainte-Marie,  G6E4A4",https://www.cjebn.com,"Carrefour Jeunesse-Emploi de Beauce-Nord (Sainte-Marie) 168, Notre-Dame Sud Sainte-Marie (Chaudière-Appalaches) G6E 4A6 Tel. :  418 386-2532 Fax :  418 386-2536"
Carrefour Jeunesse-Emploi de Beauce-Nord (St-Joseph),Tel. :  418 397-8045,"Français, Anglais, Espagnol, Portugais, Arabe","http://maps.google.ca/maps?q=168, Notre-Dame Sud Sainte-Marie,  G6E4A4",https://www.cjebn.com,"Carrefour Jeunesse-Emploi de Beauce-Nord (St-Joseph) 785, avenue Guy-Poulin Saint-Joseph-de-Beauce (Chaudière-Appalaches) G0S 2V0 Tel. :  418 397-8045 Fax :  418 397-8049"
Carrefour Jeunesse-Emploi de Beauce-Sud (Saint-Éphrem),Tel. :  418 228-9610,"Français, Anglais, Espagnol",https://maps.app.goo.gl/pbjChUSeWnVRpNyp6,https://www.cjebeauce-sud.com,"Carrefour Jeunesse-Emploi de Beauce-Sud (Saint-Éphrem) 34, route 271 sud Saint-Éphrem (Chaudière-Appalaches) G0M 1R0 Tel. :  418 228-9610 Fax :  418 227-9007"
Carrefour Jeunesse-Emploi de Beauce-Sud (Saint-Georges),Tel. :  418 228-9610,"Français, Anglais, Espagnol, Arabe, Allemand","http://maps.google.ca/maps?q=11920, 1ère Avenue Saint-Georges, Québec G5Y2E1",https://www.cjebeauce-sud.com,"Carrefour Jeunesse-Emploi de Beauce-Sud (Saint-Georges) 11920, 1ère Avenue Saint-Georges (Chaudière-Appalaches) G5Y 2E1 Tel. :  418 228-9610 Fax :  418 227-9007"
CARREFOUR JEUNESSE-EMPLOI DE FRONTENAC,Tel. :  418 335-0802,"Français, Anglais, Espagnol, Arabe",https://goo.gl/maps/zHokASGhMCfGWVyp6,https://www.cjefrontenac.com,"CARREFOUR JEUNESSE-EMPLOI DE FRONTENAC 257, Notre dame Ouest Thetford Mines (Chaudière-Appalaches) G6G 1J7 Tel. :  418 335-0802"
Carrefour Jeunesse-Emploi de L'Outaouais,Tel. :  819 561-7712,"Français, Anglais","http://maps.google.ca/maps?q=350, boulevard de La Gappe Gatineau, Québec J8T7T9",https://www.cjeo.qc.ca,"Carrefour Jeunesse-Emploi de L'Outaouais 350, boulevard de La Gappe Gatineau (Outaouais) J8T 7T9 Tel. :  819 561-7712 Fax :  819 561-1455"
Carrefour jeunesse-emploi des Îles,Tel. :  418 986-2536,"Français, Anglais",https://maps.app.goo.gl/QYSEQhR139FrzSdB8,https://www.cjedesiles.com/,"Carrefour jeunesse-emploi des Îles 210, chemin Principal Cap-aux-Meules (Gaspésie-Îles-de-la-Madeleine) G4T 1C7 Tel. :  418 986-2536 Fax :  418 986-2522"
Carrefour Jeunesse-emploi des Laurentides,Tel. :  819 425-1200,"Français, Anglais, Espagnol",https://maps.app.goo.gl/cJVjsa9LFkzZLMyy9,https://cjelaurentides.org/,Carrefour Jeunesse-emploi des Laurentides 97 rue Principale Est Sainte-Agathe-des-Monts  (Laurentides) J8C 1J9 Tel. :  819 425-1200
Carrefour Jeunesse-emploi des Laurentides (Mont-Tremblant),Tel. :  819 425-1200,"Français, Anglais, Espagnol",https://maps.app.goo.gl/ShM72fFmwJ84VSYS6,https://cjelaurentides.org/,"Carrefour Jeunesse-emploi des Laurentides (Mont-Tremblant) 763, Rue de Saint-Jovite Mont-Tremblant  (Laurentides) J8E 3J8 Tel. :  819 425-1200"
Carrefour Jeunesse-Emploi du Témiscamingue,Tel. :  819 622-2538,Français,https://goo.gl/maps/rXfKsHmHU81HQWfy8,https://cjet.qc.ca,"Carrefour Jeunesse-Emploi du Témiscamingue 4, rue Saint Michel Ville-Marie (Abitibi-Témiscamingue) J9V 2B5 Tel. :  819 622-2538 Fax :  819 622-2320"
Carrefour Jeunesse-emploi Les Etchemins,Tel. :  418 625-2533,"Français, Anglais, Espagnol","https://www.google.com/maps/place/1554+QC-277,+Lac-Etchemin,+QC+G0R+1S0/@46.403055,-70.5245913,17z/data=!3m1!4b1!4m5!3m4!1s0x4cb90a7be6186e5b:0x2245eba68489695b!8m2!3d46.4030513!4d-70.5224026",https://www.cjeetchemins.ca,"Carrefour Jeunesse-emploi Les Etchemins 1554, route 277 Lac-Etchemin (Chaudière-Appalaches) G0R 1S0 Tel. :  418 625-2533 Fax :  418 625-2534"
Carrefour Jeunesse-emploi Les Etchemins,Tel. :  418 625-2533,"Français, Anglais, Espagnol",https://maps.app.goo.gl/VaWFxEuGaDVN89ss5,https://www.cjeetchemins.ca,Carrefour Jeunesse-emploi Les Etchemins 135 Principale Sainte-Justine (Chaudière-Appalaches) G0R 1Y0 Tel. :  418 625-2533 Fax :  418 625-2534
Carrefour Jeunesse-Emploi MRC La Côte-de-Gaspé,Tel. :  418 368-2121,"Français, Anglais, Espagnol",https://maps.app.goo.gl/ZgyA4my9nAWabp6Z7,https://www.cjecotedegaspe.ca,"Carrefour Jeunesse-Emploi MRC La Côte-de-Gaspé 122, boulevard de Gaspé Gaspé (Gaspésie-Îles-de-la-Madeleine) G4X 1A9 Tel. :  418 368-2121"
Carrefour Jeunesse-Emploi Saguenay Inc. (La Baie),Tel. :  418 697-0271,"Français, Anglais fonctionnel","https://www.google.com/maps/place/942+Rue+de+la+Fabrique,+La+Baie,+QC+G7B+2T1/data=!4m2!3m1!1s0x4cc01ea5dd2b4b03:0x77cba5c28ff59442?sa=X&ved=2ahUKEwjRn4Xm9Y7tAhV3F1kFHTFyD9EQ8gEwAHoECAQQAQ",https://www.cjesag.qc.ca,"Carrefour Jeunesse-Emploi Saguenay Inc. (La Baie) 942, rue de la Fabrique La Baie (Saguenay-Lac-Saint-Jean) G7B 2T1 Tel. :  418 697-0271 Fax :  418 697 -0271"
Carrefour Le Moutier,Tel. :  450 679-7111,"Français, Anglais, Espagnol, Perse, Arabe, Créole, Kirundi, Kinyarwanda, Farsi","https://www.google.com/maps/place/219+Rue+Saint-Charles+O,+Longueuil,+QC+J4H+1E1/@45.5380089,-73.5125354,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc91b65fca6eee7:0xd328839296587814!8m2!3d45.5380089!4d-73.5103467",https://www.carrefourmoutier.org,Carrefour Le Moutier 219 rue Saint-Charles Ouest Longueuil (Montérégie) J4H 1E1 Tel. :  450 679-7111 Fax :  450 679-5562
Centre Alpha Lira Inc.,Tel. :  418 968-9843,"Français, Anglais, Arabe, Espagnol, Malgache","http://maps.google.ca/maps?q=460A, place du Commerce Sept-îles, Québec G4R2Z6",https://www.centrealphalira.org,"Centre Alpha Lira Inc. 425, avenue Arnaud Sept-Îles (Côte-Nord) G4R 3B3 Tel. :  418 968-9843 Fax :  418 968-0990"
Centre Communautaire des Femmes Sud-Asiatiques,Tel. :  514 528-8812,"Français, Anglais, Bangali, Perse, Turc, Hindi, Urdu, Pundjabi, Tamoul","http://maps.google.ca/maps?q=1035, rue Rachel Est, 3e étage Montréal, Québec H2J2J5",https://www.Sawcc-ccfsa.ca,"Centre Communautaire des Femmes Sud-Asiatiques 1035, rue Rachel Est Montréal (Montréal) H2J 2J5 Tel. :  514 528-8812 Fax :  514 528-0896"
Centre Communautaire Petit Espoir,Tel. :  450 936-1922,"Français, Anglais, Italien, Ukrainien","https://www.google.com/maps/place/1235+Mont%C3%A9e+du+Moulin,+Laval,+QC+H7A+3V6/@45.6770065,-73.5838969,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc8e0f496d9bf41:0x4117bddb16e87e4a!8m2!3d45.6770028!4d-73.5817082",https://www.petitespoir.org,"Centre Communautaire Petit Espoir 1235, rue Montée du Moulin Laval (Laval) H7A 3V6 Tel. :  450 936-1922 Fax :  450 936-1923"
Centre d'Action Bénévole de Montréal-Nord,Tel. :  514 328-1114,"Français, Anglais, Arabe, Créole (Haïtien), Espagnol, Kabyle, Kinyardwanda, Kirundi, Kiswahili, Italien","http://maps.google.ca/maps?q=4642, rue Forest Montréal-Nord, Québec H1H2P3",https://www.cabmtl-nord.org,"Centre d'Action Bénévole de Montréal-Nord 4642, rue Forest Montréal (Montréal) H1H 2P3 Tel. :  514 328-1114 Fax :  514 328-4850"
Centre d'Action Socio-Communautaire de Montréal,Tel. :  514 842-8045,"Français, Anglais, Espagnol, Portugais","http://maps.google.ca/maps?q=32, boulevard Saint-Joseph Ouest Montréal, Québec H2T2P3",https://www.cascmontreal.ca,"Centre d'Action Socio-Communautaire de Montréal 32, boulevard Saint-Joseph Ouest Montréal (Montréal) H2T 2P3 Tel. :  514 842-8045 Fax :  514 842-2356"
Centre D'appui Aux Communautés Immigrantes De Bordeaux-Cartierville,Tel. :  515 856-3511,"Français, Anglais, Arménien, Espagnol, Arabe, Berbère, Kabyle, Ukrainien, Russe: Créole (haïtien), Créole (mauricien), Hindi, Ourdou, Albanais, Wolof, Bansoa, Bandjoun, Bafang, Bamejoun, Bameka, Bamiliké, Mandarin, Malayalam, Roumain, Italien: Moldave, Turc, Persan",https://maps.app.goo.gl/LBtk7fzG7UKYYokL7,https://www.caci-bc.org,"Centre D'appui Aux Communautés Immigrantes De Bordeaux-Cartierville 4800, rue de Salaberry Montréal (Montréal) H4J 2P1 Tel. :  515 856-3511 Fax :  515 856-6029"
